class	representative_genome_id
JACRGO01	GB_GCA_016212295.1
JACRHJ01	GB_GCA_016212105.1
JACRHL01	GB_GCA_016212085.1
JADFVX01	GB_GCA_015222555.1
JADGBV01	GB_GCA_015231345.1
JADJOY01	GB_GCA_016713535.1
JADLDR01	GB_GCA_020846535.1
JAEDAM01	GB_GCA_000503875.1
JAENJC01	GB_GCA_016208525.1
JAFDED01	GB_GCA_019310535.1
JAFGBW01	GB_GCA_016929035.1
JAFGKV01	GB_GCA_016928395.1
JAFGOL01	GB_GCA_016926495.1
JAFGSJ01	GB_GCA_016934675.1
JAGHAJ01	GB_GCA_021161545.1
JAGLHV01	GB_GCA_023132075.1
JAGLSM01	GB_GCA_029548715.1
JAGOBX01	GB_GCA_017999075.1
JAGRBM01	GB_GCA_020434085.1
JAHEXW01	GB_GCA_020052375.1
JAHITG01	GB_GCA_016931325.1
JAHJIN01	GB_GCA_018823415.1
JAHJRX01	GB_GCA_018830565.1
JAICYB01	GB_GCA_025934435.1
JAIMAT01	GB_GCA_023511835.1
JAIMBG01	GB_GCA_023511555.1
JAJPGV01	GB_GCA_021325635.1
JAJRTK01	GB_GCA_024278345.1
JAJRWM01	GB_GCA_024276815.1
JAJRXV01	GB_GCA_024275075.1
JAJRZV01	GB_GCA_024275095.1
JAJSAM01	GB_GCA_021414065.1
JAJTBE01	GB_GCA_021107945.1
JAJVIF01	GB_GCA_021157815.1
JAJYCY01	GB_GCA_021790555.1
JAJYWN01	GB_GCA_021787335.1
JAJZIM01	GB_GCA_021798855.1
JAJZYS01	GB_GCA_021786135.1
JAKEIC01	GB_GCA_020723505.1
JALVIU01	GB_GCA_027028665.1
JAMCPX01	GB_GCA_021787655.1
JAMCWA01	GB_GCA_023475165.1
JAMCWD01	GB_GCA_023475345.1
JANLFM01	GB_GCA_024655865.1
JAOADG01	GB_GCA_026417415.1
JAOUDF01	GB_GCA_029859385.1
JAQTZZ01	GB_GCA_028687545.1
JAQUKH01	GB_GCA_028719205.1
JASEGY01	GB_GCA_030019105.1
